Registration Number,Name,CGPA,Projects,Internships,Courses,No_of_Certs,Certifications,LeetCode Score,Placement Status,Company Portfolio,10th Grade Percentage,12th Grade Percentage,CTC,IQ,Gender,Skills,Skill Score
20ECE0090,Jeffrey Jones,8.19,6,"['ML/AI', 'Hardware Engineer']","['CSC Backend', 'CSC Backend']",2,9,450,Placed,SUPER DREAM,86,69,50 LPA,124,Male,"['C++', 'Data Analysis', 'Communication']",4
20EEE0013,Danny Morrison,8.61,10,['Chip Design'],"['CSC Backend', 'CSC Frontend', 'CSC Backend', 'System Design']",4,0,96,Placed,DREAM,77,71,15 LPA,86,Female,"['Java', 'Data Analysis', 'Database Management', 'Machine Learning', 'Communication']",1
20ECE0177,Aaron Mitchell,9.81,7,"['Cloud Engineer', 'Robotics', 'System Design']","['ML Engineer', 'Chip Design']",2,3,261,Not Placed,None,74,64,40 LPA,88,Female,"['C++', 'Java', 'Machine Learning']",8
20EEE0216,Ms. Donna Sawyer,7.37,3,"['System Design', 'Business Management']","['ML Engineer', 'Cloud Engineer']",2,2,218,Placed,DREAM,69,93,8 LPA,99,Male,"['Communication', 'Java', 'Machine Learning', 'Web Development']",9
20CSE0027,Renee Rice,9.03,7,['UI Design'],['VLSI'],1,4,198,Not Placed,None,97,60,10 LPA,140,Female,"['Machine Learning', 'Database Management', 'Java', 'Data Analysis']",1
20CSE0042,Todd Smith,6.85,4,"['ML/AI', 'System Design']","['CSC Frontend', 'Cloud Engineer', 'CSC Frontend', 'ML Engineer']",4,6,40,Not Placed,None,97,73,50 LPA,132,Female,"['Communication', 'Web Development']",5
20ECE0307,Joseph Stevenson,7.09,1,"['Cloud Engineer', 'Cloud Engineer']","['Cloud Engineer', 'CSC Frontend', 'CSC Frontend']",3,5,54,Not Placed,None,94,89,60 LPA,130,Female,"['Python', 'C++', 'Data Analysis']",5
20ECE0018,Hayley Martinez,9.61,6,"['ML/AI', 'UI Design']","['Chip Design', 'Cloud Engineer']",2,6,246,Not Placed,None,91,76,25 LPA,130,Male,"['C++', 'Data Analysis', 'Python']",8
20CSE0177,Ashley Adams,9.2,3,['System Design'],['System Design'],1,2,115,Not Placed,None,84,70,90 LPA,97,Male,"['Database Management', 'C++', 'Python', 'Data Analysis', 'Web Development']",5
20ECE0149,Tyler Bailey,10.0,1,"['ML Engineer', 'ML Engineer', 'UI Design']",['ML Engineer'],1,4,190,Not Placed,None,95,83,10 LPA,125,Male,"['Python', 'C++', 'Communication', 'Java', 'Data Analysis']",4
20ECE0228,Elizabeth Jimenez,7.28,4,"['UI Design', 'Business Management', 'Robotics']",['Cloud Engineer'],1,4,243,Not Placed,None,69,80,50 LPA,144,Female,"['Web Development', 'Communication']",4
20ECE0317,Phillip Johnston,7.9,1,"['Robotics', 'Software Engineer', 'Cloud Engineer']",['CSC Backend'],1,2,116,Not Placed,None,83,60,20 LPA,144,Male,"['Machine Learning', 'Database Management', 'Java', 'Data Analysis']",9
20ECE0188,Gina Young,7.57,4,"['Software Engineer', 'ML Engineer', 'ML/AI']",['CSC Backend'],1,7,221,Placed,DREAM,65,73,70 LPA,80,Male,['Database Management'],3
20CSE0021,Belinda Gentry,9.92,1,"['Robotics', 'Hardware Engineer']","['Cloud Engineer', 'Cloud Engineer']",2,6,179,Placed,SUPER DREAM,97,61,60 LPA,106,Female,['Web Development'],5
20CSE0014,Joseph Cox,8.75,5,"['Robotics', 'Chip Design', 'Business Management']","['CSC Frontend', 'CSC Frontend', 'CSC Backend', 'System Design']",4,2,346,Placed,SUPER DREAM,76,85,40 LPA,83,Female,"['C++', 'Database Management', 'Data Analysis', 'Web Development']",10
20EEE0333,Leah Rogers,9.24,8,"['System Design', 'Hardware Engineer', 'ML Engineer']","['Chip Design', 'Cloud Engineer']",2,2,103,Not Placed,None,73,79,90 LPA,128,Male,"['C++', 'Machine Learning', 'Java', 'Data Analysis', 'Communication']",10
20EEE0055,Philip Diaz,6.72,5,"['System Design', 'ML/AI']",['VLSI'],1,3,413,Not Placed,None,69,85,15 LPA,126,Female,"['Web Development', 'Database Management', 'C++', 'Java']",4
20EEE0322,Ariana Bailey,6.16,7,['Business Management'],"['ML Engineer', 'Cloud Engineer']",2,6,101,Placed,REGULAR,92,98,30 LPA,89,Female,"['Python', 'Data Analysis', 'Database Management', 'Machine Learning', 'Java']",2
20EEE0043,Melissa Martinez,9.08,1,"['ML/AI', 'Cloud Engineer']","['System Design', 'CSC Backend', 'ML Engineer']",3,7,74,Not Placed,None,81,83,4 LPA,95,Male,"['Python', 'Machine Learning', 'Data Analysis']",3
20ECE0247,Charles Crawford,6.72,10,"['Software Engineer', 'System Design', 'Software Engineer']","['ML Engineer', 'VLSI']",2,7,55,Placed,REGULAR,65,61,10 LPA,120,Male,"['C++', 'Java', 'Data Analysis']",6
20EEE0262,Jesse Moore,6.58,7,"['ML/AI', 'ML Engineer', 'ML Engineer']",['System Design'],1,6,245,Placed,REGULAR,99,85,90 LPA,131,Female,"['Java', 'C++', 'Web Development', 'Communication', 'Database Management']",5
20ECE0185,Charlotte Reyes,8.34,7,"['Robotics', 'ML/AI']","['Chip Design', 'VLSI', 'Chip Design']",3,4,91,Not Placed,None,84,100,60 LPA,108,Female,"['Java', 'Communication']",9
20ECE0193,Eric George,8.12,1,['Chip Design'],"['VLSI', 'Cloud Engineer']",2,7,97,Placed,REGULAR,85,80,50 LPA,128,Male,"['Machine Learning', 'Data Analysis']",6
20EEE0042,James Rosario,9.91,1,['Chip Design'],"['CSC Frontend', 'ML Engineer', 'Chip Design']",3,4,133,Not Placed,None,71,62,6 LPA,120,Female,"['Data Analysis', 'Web Development', 'Python', 'C++', 'Database Management']",2
20EEE0096,Cheryl Gonzalez,6.12,4,"['Robotics', 'Robotics', 'Cloud Engineer']",['CSC Backend'],1,3,392,Not Placed,None,86,60,80 LPA,115,Male,"['C++', 'Web Development', 'Python']",4
20CSE0068,Brian Gomez,6.69,5,"['ML/AI', 'System Design', 'Hardware Engineer']",['ML Engineer'],1,1,362,Not Placed,None,84,62,70 LPA,81,Male,['Communication'],9
20ECE0313,Brittany Sharp,7.83,5,['ML Engineer'],"['CSC Backend', 'Cloud Engineer', 'CSC Frontend', 'Chip Design']",4,6,433,Not Placed,None,63,72,15 LPA,102,Male,"['Java', 'Machine Learning', 'Communication']",4
20EEE0311,Kristin Rios,7.0,9,"['Chip Design', 'Cloud Engineer', 'System Design']","['System Design', 'System Design', 'VLSI', 'Chip Design']",4,3,100,Not Placed,None,64,99,8 LPA,138,Female,"['Machine Learning', 'Communication', 'Java']",5
20ECE0056,Stephen Valentine,9.23,10,"['Cloud Engineer', 'ML/AI', 'Robotics']","['ML Engineer', 'ML Engineer', 'Chip Design']",3,1,450,Not Placed,None,96,77,8 LPA,137,Female,"['Communication', 'Data Analysis', 'Java', 'Web Development']",1
20EEE0289,Tina Sutton,7.57,8,"['Software Engineer', 'Software Engineer', 'Software Engineer']","['ML Engineer', 'CSC Frontend']",2,1,458,Not Placed,None,70,76,90 LPA,148,Male,"['Data Analysis', 'Machine Learning', 'Communication', 'C++']",2
20CSE0085,Ashley Medina,6.87,8,"['ML/AI', 'Cloud Engineer']",['CSC Backend'],1,2,260,Not Placed,None,71,99,15 LPA,142,Female,"['Machine Learning', 'Web Development', 'Communication', 'Database Management']",4
20EEE0214,Charles Burnett,8.01,9,"['System Design', 'Robotics', 'ML Engineer']",['CSC Frontend'],1,10,268,Not Placed,None,76,100,10 LPA,132,Female,['Data Analysis'],5
20ECE0276,Craig Martin,8.1,9,"['Software Engineer', 'UI Design', 'Robotics']","['ML Engineer', 'VLSI']",2,4,334,Not Placed,None,90,63,10 LPA,139,Male,"['Python', 'Java', 'Web Development', 'Machine Learning', 'Database Management']",1
20CSE0100,Colleen Andrews,6.31,2,"['Hardware Engineer', 'UI Design']","['Chip Design', 'ML Engineer', 'Chip Design', 'ML Engineer']",4,7,175,Placed,SUPER DREAM,88,91,50 LPA,81,Female,"['Python', 'Database Management', 'Machine Learning']",8
20ECE0259,Emily Curtis,8.82,9,"['Robotics', 'Robotics', 'Chip Design']","['ML Engineer', 'CSC Backend', 'ML Engineer', 'Cloud Engineer']",4,0,4,Placed,SUPER DREAM,61,99,10 LPA,101,Male,"['Python', 'Java']",7
20ECE0273,Angel Mendoza,8.05,7,"['Business Management', 'Business Management', 'Chip Design']","['Cloud Engineer', 'System Design']",2,3,322,Placed,SUPER DREAM,60,60,4 LPA,95,Female,"['Data Analysis', 'Java', 'Machine Learning', 'Communication', 'C++']",3
20CSE0225,David Palmer,6.84,8,"['System Design', 'Business Management']","['CSC Frontend', 'CSC Backend', 'CSC Frontend', 'VLSI']",4,5,73,Not Placed,None,99,71,15 LPA,111,Male,"['Data Analysis', 'Python', 'Machine Learning', 'C++']",3
20ECE0132,Emily Rodriguez,9.2,5,"['Cloud Engineer', 'Chip Design']",['Cloud Engineer'],1,1,109,Placed,DREAM,70,83,25 LPA,96,Male,"['Python', 'Web Development', 'Communication', 'Data Analysis', 'Database Management']",9
20CSE0282,Anthony Phillips,6.23,4,['System Design'],"['System Design', 'System Design']",2,2,231,Placed,SUPER DREAM,90,79,15 LPA,95,Female,"['Communication', 'Web Development', 'Machine Learning']",7
20EEE0104,Lisa Arnold,6.2,3,['Cloud Engineer'],['CSC Backend'],1,7,479,Placed,DREAM,73,65,40 LPA,115,Female,"['C++', 'Data Analysis', 'Communication']",7
20ECE0070,Amy Marshall,7.57,6,"['ML/AI', 'ML/AI', 'ML/AI']","['Cloud Engineer', 'CSC Frontend', 'VLSI', 'VLSI']",4,6,469,Not Placed,None,71,100,90 LPA,108,Female,"['Java', 'Python', 'Web Development', 'C++']",2
20ECE0102,Dennis Cox,9.61,5,"['ML Engineer', 'Chip Design']","['Chip Design', 'VLSI', 'Chip Design']",3,8,403,Not Placed,None,62,66,70 LPA,109,Male,['Communication'],5
20CSE0171,Jonathan Friedman,7.66,8,['ML Engineer'],"['CSC Frontend', 'Chip Design', 'ML Engineer', 'CSC Frontend']",4,8,55,Not Placed,None,99,77,20 LPA,96,Female,"['Communication', 'Web Development']",3
20EEE0276,Alexis Williamson,8.95,6,"['Chip Design', 'UI Design']","['System Design', 'Cloud Engineer', 'CSC Backend']",3,8,402,Not Placed,None,76,67,50 LPA,119,Female,"['Java', 'Python']",8
20EEE0026,Susan Brown,7.89,7,"['UI Design', 'Chip Design']","['Cloud Engineer', 'VLSI', 'Cloud Engineer']",3,1,98,Not Placed,None,95,65,20 LPA,90,Female,"['Data Analysis', 'Machine Learning', 'C++', 'Communication']",9
20ECE0076,Lynn Newman,9.72,9,"['Chip Design', 'Cloud Engineer']",['VLSI'],1,9,169,Not Placed,None,70,78,25 LPA,99,Female,['Web Development'],10
20ECE0279,Daniel Jenkins,8.48,8,['ML Engineer'],['Cloud Engineer'],1,3,200,Not Placed,None,85,73,8 LPA,93,Female,['Data Analysis'],7
20CSE0288,James Ramos,9.91,1,"['Chip Design', 'ML Engineer']",['Cloud Engineer'],1,6,162,Placed,DREAM,88,86,90 LPA,133,Male,"['Machine Learning', 'Communication']",3
20EEE0315,Douglas Cochran,9.57,10,"['UI Design', 'UI Design']","['CSC Frontend', 'Cloud Engineer']",2,2,483,Placed,DREAM,76,93,20 LPA,112,Male,"['Java', 'C++']",1
20EEE0209,Robert Caldwell,7.59,2,"['UI Design', 'UI Design', 'System Design']","['System Design', 'CSC Frontend', 'CSC Backend', 'Cloud Engineer']",4,1,380,Placed,DREAM,80,74,90 LPA,141,Female,"['Data Analysis', 'Web Development', 'Database Management', 'Communication']",8
20EEE0102,William Phillips,7.48,10,"['ML Engineer', 'Robotics', 'UI Design']","['CSC Frontend', 'Chip Design']",2,9,360,Not Placed,None,79,99,70 LPA,129,Female,"['Database Management', 'Python']",3
20CSE0011,Sarah Aguilar,7.59,3,"['ML Engineer', 'UI Design', 'System Design']","['System Design', 'Cloud Engineer', 'Cloud Engineer', 'VLSI']",4,0,484,Not Placed,None,80,88,15 LPA,149,Male,['Python'],7
20ECE0300,Elizabeth Garcia,9.69,5,['UI Design'],"['System Design', 'Cloud Engineer', 'Chip Design']",3,7,77,Placed,REGULAR,85,74,50 LPA,106,Male,"['Java', 'Data Analysis', 'Communication', 'C++']",6
20EEE0003,Nicholas Henry,7.77,7,"['Business Management', 'Software Engineer']","['CSC Frontend', 'ML Engineer', 'System Design', 'CSC Backend']",4,4,275,Not Placed,None,97,74,40 LPA,109,Male,['Data Analysis'],5
20EEE0156,Keith Patrick,8.12,5,['UI Design'],['CSC Backend'],1,3,104,Not Placed,None,66,89,4 LPA,139,Female,"['Machine Learning', 'Java', 'Database Management', 'Python', 'Communication']",2
20CSE0283,Jennifer Stokes,8.86,5,"['Robotics', 'Robotics']","['CSC Backend', 'ML Engineer', 'Cloud Engineer']",3,2,288,Not Placed,None,86,61,90 LPA,150,Female,"['Python', 'C++']",3
20EEE0064,Jose Walsh,8.02,3,"['Chip Design', 'Chip Design']","['Chip Design', 'ML Engineer', 'VLSI', 'Chip Design']",4,10,411,Not Placed,None,75,62,50 LPA,95,Male,"['Communication', 'Java', 'Web Development', 'Database Management']",4
20CSE0054,Nicole Mckinney,9.68,4,"['Hardware Engineer', 'Software Engineer', 'Cloud Engineer']","['Chip Design', 'CSC Frontend']",2,4,387,Placed,DREAM,73,67,60 LPA,124,Female,"['Data Analysis', 'Machine Learning']",10
20CSE0191,Michelle Smith,9.96,1,"['ML/AI', 'ML Engineer', 'Software Engineer']","['CSC Backend', 'ML Engineer']",2,3,189,Placed,REGULAR,93,69,80 LPA,108,Male,"['Python', 'Machine Learning', 'Database Management']",3
20ECE0197,Mitchell Burns,7.17,7,"['ML Engineer', 'ML Engineer', 'System Design']","['CSC Backend', 'ML Engineer', 'System Design', 'CSC Backend']",4,0,363,Not Placed,None,86,84,90 LPA,138,Female,['Java'],7
20CSE0097,Mr. Christopher Matthews,8.42,8,"['ML Engineer', 'Business Management']","['VLSI', 'ML Engineer', 'CSC Frontend']",3,2,2,Not Placed,None,64,91,6 LPA,108,Female,"['C++', 'Java']",1
20EEE0203,Michele Gomez,8.21,6,"['Business Management', 'Software Engineer', 'Hardware Engineer']","['CSC Backend', 'Chip Design']",2,7,178,Placed,DREAM,96,84,90 LPA,102,Male,"['Python', 'Database Management', 'Java', 'Web Development']",1
20ECE0150,Troy Patterson,9.28,10,"['ML Engineer', 'Robotics', 'ML Engineer']",['Cloud Engineer'],1,3,162,Placed,DREAM,69,81,1 CR LPA,135,Male,"['C++', 'Communication', 'Machine Learning', 'Web Development']",2
20ECE0030,Michael Bowers,9.7,7,"['UI Design', 'Robotics']","['VLSI', 'Cloud Engineer', 'CSC Frontend', 'ML Engineer']",4,8,453,Placed,SUPER DREAM,89,94,60 LPA,86,Female,"['Communication', 'Java', 'Database Management']",7
20ECE0012,Rhonda Cohen,6.28,1,['UI Design'],['System Design'],1,0,476,Placed,REGULAR,86,92,50 LPA,118,Male,"['Communication', 'Java', 'Web Development']",8
20ECE0244,Rebecca Miller,8.86,8,"['Chip Design', 'ML Engineer']","['CSC Frontend', 'CSC Backend', 'System Design', 'CSC Backend']",4,5,471,Placed,REGULAR,62,91,25 LPA,107,Female,"['Communication', 'Data Analysis', 'C++', 'Java', 'Web Development']",8
20EEE0296,Sheri Sullivan,7.67,8,"['ML/AI', 'Hardware Engineer']","['Cloud Engineer', 'VLSI']",2,0,313,Placed,SUPER DREAM,68,87,15 LPA,129,Female,"['Python', 'Machine Learning', 'Data Analysis', 'Java']",2
20EEE0021,Theresa Zavala,7.45,3,['System Design'],['System Design'],1,8,295,Not Placed,None,77,99,60 LPA,91,Female,"['Data Analysis', 'C++', 'Web Development', 'Communication']",2
20EEE0299,Rebecca Mcbride,8.19,6,"['Business Management', 'Software Engineer']","['CSC Frontend', 'ML Engineer']",2,4,272,Placed,SUPER DREAM,72,90,80 LPA,115,Male,"['Data Analysis', 'Machine Learning']",9
20EEE0030,Michelle Molina,9.4,9,['Software Engineer'],"['VLSI', 'System Design', 'Cloud Engineer', 'ML Engineer']",4,8,447,Placed,DREAM,61,88,6 LPA,125,Female,"['Communication', 'Java', 'Python', 'C++', 'Database Management']",9
20CSE0289,Christopher Vega,6.56,8,"['Cloud Engineer', 'ML Engineer']","['Cloud Engineer', 'Chip Design', 'System Design', 'CSC Frontend']",4,9,445,Placed,DREAM,65,61,20 LPA,131,Male,"['Java', 'Web Development', 'C++', 'Communication', 'Machine Learning']",7
20ECE0255,Jonathan Sanchez,7.65,1,['Software Engineer'],['CSC Backend'],1,6,410,Not Placed,None,65,72,1 CR LPA,137,Male,"['Web Development', 'Database Management', 'Machine Learning']",6
20ECE0082,Melinda Brown,7.82,7,['Hardware Engineer'],['Chip Design'],1,2,147,Placed,REGULAR,99,85,8 LPA,105,Male,"['Web Development', 'Database Management']",3
20CSE0071,Sarah Stone,6.93,8,"['Hardware Engineer', 'System Design', 'ML/AI']",['Chip Design'],1,4,82,Not Placed,None,85,67,6 LPA,118,Male,"['C++', 'Communication', 'Data Analysis']",9
20ECE0025,Felicia Roy,6.66,8,['ML Engineer'],['CSC Frontend'],1,7,228,Placed,REGULAR,83,64,90 LPA,88,Male,"['Python', 'Machine Learning']",10
20ECE0167,Jacqueline Powell,6.8,3,"['Hardware Engineer', 'System Design']","['VLSI', 'ML Engineer', 'Chip Design']",3,7,87,Placed,SUPER DREAM,64,74,1 CR LPA,131,Male,"['Java', 'Communication', 'C++']",9
20CSE0277,Jacqueline Ochoa,9.46,4,"['Chip Design', 'System Design', 'Hardware Engineer']","['VLSI', 'CSC Backend', 'Chip Design']",3,1,275,Not Placed,None,67,65,20 LPA,141,Male,['Machine Learning'],1
20EEE0164,James Dennis,7.79,8,['Robotics'],['ML Engineer'],1,3,238,Placed,REGULAR,61,100,10 LPA,133,Male,"['C++', 'Communication']",3
20ECE0330,Brittany Barnes,9.34,5,"['ML Engineer', 'UI Design']",['ML Engineer'],1,5,452,Placed,REGULAR,94,83,20 LPA,132,Female,"['C++', 'Data Analysis', 'Machine Learning', 'Java']",2
20ECE0293,Thomas Thomas,8.04,1,['Robotics'],['ML Engineer'],1,9,448,Not Placed,None,77,84,50 LPA,131,Male,"['Communication', 'Java', 'Database Management']",5
20CSE0322,Todd Garcia,6.96,3,"['System Design', 'Chip Design', 'System Design']","['CSC Frontend', 'System Design', 'CSC Backend', 'CSC Frontend']",4,1,31,Placed,REGULAR,87,71,6 LPA,123,Female,['Database Management'],3
20ECE0168,Hailey Nicholson,9.59,3,"['Hardware Engineer', 'Robotics', 'Cloud Engineer']","['Chip Design', 'System Design']",2,7,159,Not Placed,None,88,89,80 LPA,124,Male,"['Python', 'Machine Learning', 'Java', 'Data Analysis', 'Communication']",10
20CSE0005,Christy Harris,7.7,4,['Chip Design'],"['Chip Design', 'Chip Design', 'VLSI', 'System Design']",4,3,239,Placed,REGULAR,86,63,80 LPA,104,Male,"['Python', 'Communication']",5
20EEE0080,Ms. Jennifer Moore,9.59,3,"['Chip Design', 'ML/AI', 'System Design']","['System Design', 'Cloud Engineer', 'CSC Backend', 'ML Engineer']",4,2,244,Placed,DREAM,79,72,20 LPA,116,Female,"['Java', 'Communication', 'Database Management']",1
20EEE0257,Susan Choi,7.28,3,"['Robotics', 'Chip Design', 'Business Management']",['CSC Frontend'],1,1,435,Not Placed,None,93,84,40 LPA,127,Female,"['Python', 'Machine Learning', 'Web Development', 'Data Analysis', 'Java']",2
20ECE0157,Brian Campbell,8.65,5,['System Design'],['CSC Frontend'],1,3,305,Not Placed,None,99,82,60 LPA,142,Female,"['Data Analysis', 'C++', 'Machine Learning', 'Web Development', 'Python']",4
20CSE0060,Jordan Powell,6.31,6,"['ML Engineer', 'System Design', 'Robotics']","['CSC Backend', 'System Design', 'Chip Design', 'System Design']",4,2,309,Not Placed,None,73,90,80 LPA,108,Male,['Data Analysis'],2
20ECE0245,Tiffany Rodriguez,8.42,1,"['ML Engineer', 'Robotics', 'Robotics']","['CSC Frontend', 'Cloud Engineer', 'CSC Backend']",3,7,173,Placed,REGULAR,92,100,10 LPA,130,Female,"['Data Analysis', 'C++', 'Communication', 'Web Development']",8
20CSE0122,Paul Schwartz,9.22,9,"['Robotics', 'ML/AI']","['ML Engineer', 'Chip Design']",2,3,123,Not Placed,None,95,84,6 LPA,121,Male,['Python'],4
20CSE0074,Michael Harrell,9.01,10,"['Cloud Engineer', 'System Design']","['CSC Frontend', 'VLSI']",2,7,232,Not Placed,None,70,63,15 LPA,95,Female,"['Python', 'Communication', 'C++']",9
20ECE0037,Charles Valentine,7.96,7,"['Software Engineer', 'Chip Design', 'System Design']","['CSC Backend', 'Cloud Engineer', 'System Design', 'ML Engineer']",4,6,25,Not Placed,None,62,86,6 LPA,122,Male,['Python'],10
20EEE0195,Emily David,6.9,2,['ML/AI'],['Cloud Engineer'],1,8,471,Placed,REGULAR,94,99,40 LPA,132,Female,"['Web Development', 'Java', 'Communication']",4
20EEE0062,Nicole Stark,8.83,10,"['System Design', 'ML/AI', 'Business Management']","['CSC Frontend', 'ML Engineer']",2,0,477,Placed,DREAM,84,82,1 CR LPA,122,Male,"['Data Analysis', 'Java', 'Python', 'Database Management']",10
20CSE0038,Hailey York,6.03,5,['Robotics'],"['CSC Backend', 'System Design', 'System Design', 'ML Engineer']",4,0,16,Placed,REGULAR,92,74,10 LPA,100,Male,"['Database Management', 'Data Analysis', 'Machine Learning', 'C++', 'Java']",5
20EEE0331,Jeffrey Waller,6.31,8,['Hardware Engineer'],"['Chip Design', 'ML Engineer']",2,3,41,Not Placed,None,77,61,8 LPA,141,Male,['C++'],10
20ECE0145,Edward Owens,8.79,1,['Business Management'],"['VLSI', 'Cloud Engineer']",2,6,347,Not Placed,None,80,72,30 LPA,107,Female,['Machine Learning'],8
20EEE0025,Chase Stokes,9.13,7,"['Hardware Engineer', 'System Design', 'Cloud Engineer']","['CSC Frontend', 'ML Engineer', 'CSC Backend']",3,4,226,Placed,REGULAR,62,96,20 LPA,90,Female,['Database Management'],4
20EEE0158,Theresa Grimes,6.29,2,"['Hardware Engineer', 'Business Management', 'Cloud Engineer']",['CSC Backend'],1,6,96,Placed,DREAM,85,78,80 LPA,94,Female,['Communication'],1
20EEE0205,Amanda Jones,7.61,8,"['ML/AI', 'System Design']",['CSC Backend'],1,10,361,Not Placed,None,65,92,25 LPA,105,Male,"['C++', 'Web Development']",2
20ECE0023,Susan Mooney,6.41,5,"['ML/AI', 'UI Design']","['Chip Design', 'CSC Frontend', 'ML Engineer', 'Cloud Engineer']",4,4,74,Placed,DREAM,85,93,60 LPA,82,Male,['C++'],7
20CSE0198,Kyle Moreno,7.59,4,['Robotics'],"['Chip Design', 'System Design']",2,0,53,Not Placed,None,71,67,70 LPA,121,Male,"['Python', 'Java', 'Communication']",5
20ECE0213,Michael Grant,6.72,2,"['System Design', 'System Design', 'ML/AI']","['CSC Frontend', 'CSC Backend', 'CSC Frontend']",3,9,421,Not Placed,None,65,88,90 LPA,145,Female,"['Database Management', 'Python', 'Data Analysis', 'C++', 'Communication']",7
20ECE0029,Cheryl Gonzalez,9.08,4,['Robotics'],"['CSC Frontend', 'ML Engineer']",2,2,160,Placed,DREAM,80,92,1 CR LPA,99,Female,"['Python', 'Data Analysis', 'Machine Learning']",10
20CSE0061,Amanda Hinton,8.69,3,"['Chip Design', 'UI Design']","['ML Engineer', 'ML Engineer']",2,8,108,Placed,SUPER DREAM,93,75,50 LPA,143,Female,['Data Analysis'],4
20ECE0088,Natalie Perez,7.6,7,['ML/AI'],['Cloud Engineer'],1,2,299,Not Placed,None,60,95,70 LPA,87,Male,"['C++', 'Java', 'Machine Learning', 'Communication', 'Database Management']",8
20CSE0219,Debra Evans,6.98,1,['Business Management'],"['ML Engineer', 'CSC Backend']",2,6,366,Not Placed,None,83,63,20 LPA,116,Female,"['Database Management', 'Web Development']",8
20EEE0329,Samantha Baker,9.08,8,"['ML/AI', 'Chip Design']",['CSC Backend'],1,1,403,Placed,DREAM,91,89,80 LPA,135,Male,"['Database Management', 'C++']",10
20CSE0320,Sheila Dean,6.58,6,"['ML/AI', 'Hardware Engineer', 'UI Design']","['Cloud Engineer', 'CSC Frontend', 'System Design']",3,9,199,Not Placed,None,75,69,50 LPA,144,Female,"['Machine Learning', 'Data Analysis', 'Web Development']",5
20ECE0282,Jon Brown,8.3,7,"['Software Engineer', 'Business Management', 'Hardware Engineer']","['Chip Design', 'ML Engineer']",2,5,132,Placed,REGULAR,61,95,60 LPA,114,Female,['C++'],1
20EEE0186,Rachel Butler,7.32,2,"['Business Management', 'Software Engineer']","['Cloud Engineer', 'CSC Backend', 'Chip Design', 'CSC Backend']",4,1,465,Not Placed,None,90,92,40 LPA,83,Male,"['Database Management', 'Java', 'C++', 'Python', 'Data Analysis']",2
20EEE0242,Jeffrey Porter,7.37,3,['ML Engineer'],"['Cloud Engineer', 'System Design', 'Cloud Engineer']",3,9,320,Not Placed,None,99,65,25 LPA,83,Male,['Database Management'],7
20EEE0152,Kevin Hunter,6.19,5,"['ML/AI', 'UI Design', 'ML/AI']",['ML Engineer'],1,9,324,Placed,REGULAR,65,73,8 LPA,141,Male,"['Data Analysis', 'Machine Learning', 'Web Development']",2
20ECE0084,David Anderson,6.51,4,['Business Management'],"['CSC Frontend', 'ML Engineer', 'CSC Backend', 'Chip Design']",4,9,146,Not Placed,None,87,62,4 LPA,84,Female,['Data Analysis'],10
20ECE0243,Emily Fitzgerald,6.41,2,"['Cloud Engineer', 'Chip Design']",['System Design'],1,10,483,Not Placed,None,86,96,1 CR LPA,125,Male,"['Machine Learning', 'C++']",8
20EEE0226,William Guerrero,7.39,3,"['Cloud Engineer', 'Hardware Engineer']","['Chip Design', 'System Design', 'System Design', 'VLSI']",4,3,27,Not Placed,None,85,76,1 CR LPA,117,Male,"['C++', 'Java']",10
20EEE0199,Dr. Alexa Hernandez,6.93,5,"['System Design', 'Robotics', 'Cloud Engineer']","['CSC Frontend', 'ML Engineer']",2,0,41,Not Placed,None,95,63,20 LPA,100,Male,"['Python', 'Java', 'C++', 'Database Management']",4
20EEE0193,Abigail Stephens,7.98,6,['Hardware Engineer'],"['VLSI', 'ML Engineer', 'CSC Backend']",3,0,202,Placed,DREAM,95,61,80 LPA,108,Female,"['C++', 'Machine Learning']",8
20ECE0044,Sara Jones,7.89,8,"['Business Management', 'ML Engineer', 'Hardware Engineer']",['CSC Frontend'],1,3,183,Not Placed,None,61,89,1 CR LPA,142,Female,"['Communication', 'Web Development', 'Machine Learning', 'Python', 'C++']",4
20CSE0255,Haley Hendrix,8.8,4,['Hardware Engineer'],"['Cloud Engineer', 'System Design', 'Cloud Engineer', 'System Design']",4,2,144,Not Placed,None,67,67,8 LPA,131,Female,"['Communication', 'Database Management', 'Python']",8
20ECE0161,Michael Hayes,9.18,6,['Cloud Engineer'],"['VLSI', 'Cloud Engineer', 'Cloud Engineer', 'VLSI']",4,10,343,Not Placed,None,87,62,4 LPA,141,Male,"['Database Management', 'Web Development']",2
20EEE0079,Jimmy Perry,6.64,8,['ML/AI'],"['CSC Frontend', 'CSC Backend', 'Chip Design', 'Cloud Engineer']",4,4,221,Not Placed,None,79,94,40 LPA,107,Female,"['Data Analysis', 'Communication', 'C++']",8
20EEE0116,Yvonne Owens,8.38,8,"['UI Design', 'Robotics', 'ML/AI']","['ML Engineer', 'CSC Frontend']",2,5,200,Placed,REGULAR,97,81,20 LPA,143,Female,"['Java', 'C++']",9
20ECE0115,Daniel Murray,7.25,3,"['Chip Design', 'Cloud Engineer', 'Hardware Engineer']","['CSC Frontend', 'Chip Design']",2,9,139,Not Placed,None,98,93,90 LPA,121,Male,"['Database Management', 'Data Analysis', 'Web Development', 'C++', 'Communication']",3
